Id,Birthdate,CreatedDate,Location_x,City,State,CityState,How_did_you_hear_about_Elite_Meet,Your_transition_to_civilian_life_begin,Undergrad,Undergrad_School,Undergrad_major,Grad_Degree,Graduate_School,Grad_Degree_Type,Years_of_Service,Officer,Military_specialty_in_real_words,Whichcourse,When_did_you_graduate,What_was_your_first_unit_after_grad,Branch,Tribe,What_locations_do_you_WANT_to_live_in,Where_do_you_NOT_WANT_to_live,What_would_be_your_ideal_next_job,Target_Industries_Pls_pick_up_to_Three,of_informational_interviews_completed,of_job_formal_interviews_completed,of_counting_getting_a_job_through_EM,What_s_more_important_to_you,How_mobile_are_you_and_your_family,Lead_RecordType,Created,Approx_Age,Combined,Location_y,Coordinates,latitude,longitude,scaled,text
003f400000dbEV4AAM,12/25/75 0:00,10/23/18 16:30,"New York,NY",New York,NY,"New York, NY",Founder / Jordan Selleck,,Complete,Geneva College (PA),Business Management,Complete,,MBA,14.0,False,Special Forces Intelligence Sergeant and Special Forces Medical Sergeant,Q Course (SF),11/18/07 0:00,"B Co,2nd Bn,3rd Special Forces Group",Army,Green Beret,New York City,Not NYC,,Finance,,,,Location,,Veteran,2018-10-23,33.0,26.0,"New York, NY","New York, United States of America",40.7127281,-74.0060152,17.067513741735045,"New York, NY: 26"
003f400000dbEV5AAM,9/29/91 0:00,10/23/18 16:30,"San Diego,CA",San Diego,CA,"San Diego, California",Co-worker,,Complete,University of Charleston,Organizational Leadership,,,,8.0,False,unmanned aircraft and leading diverse cross functional teams,Crewman Qualification Training (SWCC),7/4/11 0:00,Special Boat Team 12,Navy,SWCC,"San Diego,San Francisco,Oregon,Chicago,Colorado",Im very open if the opportunity is right,,Entrepreneurship;Finance;Tech,,,,Job,,Veteran,2018-10-23,27.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbI4JAAU,9/29/73 0:00,10/23/18 16:48,"Tampa,FL",Tampa,FL,"Tampa, FL",LinkedIn,,Complete,US Air Force Academy,Military History,Complete,,MBA,21.0,True,F-15E Weapon Systems Officer,Winged as a fighter pilot (Flight Officer),4/1/99 0:00,"494th Fighter Squadron RAF Lakenheath,UK",Air Force,Pilot,Tampa/Orlando FL area,West Coast or Northeast USA,,IT / Cyber Security;Aerospace and Defense;Tech,,,,Location,,Veteran,2018-10-23,43.0,13.0,"Tampa, FL","Tampa, Hillsborough County, Florida, United States of America",27.947759499999997,-82.458444,10.931450649247193,"Tampa, FL: 13"
003f400000dbI4KAAU,8/23/81 0:00,10/23/18 16:48,"Somerville,MA",Somerville,MA,"Somerville, MA",Colleague,,Complete,US Military Academy,Economics,In Progress,,MBA,13.0,True,Army Special Operations Aviator (MH-6M Little Bird),Helo Pilot,11/7/11 0:00,TF 1-160th SOAR(A),Army,Helo Pilot,"Boston,the Midwest,or the Pacific Northwest","Arizona,Texas",,Finance;Aerospace and Defense;Tech,,,,Job,,Veteran,2018-10-23,35.0,2.0,"Somerville, MA","Somerville, Middlesex County, Massachusetts, United States of America",42.3875968,-71.0994968,5.498446586473354,"Somerville, MA: 2"
003f400000dbI4LAAU,8/1/18 0:00,10/23/18 16:48,"San Diego,CA",San Diego,CA,"San Diego, California",,,,University of Charleston,Organizational Leadership,,,Masters - Finance,11.0,False,SEAL,BUD/S (SEAL),8/30/18 0:00,Seal Team 3,Navy,SEAL,"North East,Midwest",10,,,,,,,,Veteran,2018-10-23,30.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbI4MAAU,1/5/87 0:00,10/23/18 16:48,"Lemoore,CA",Lemoore,CA,"Lemoore, California",LinkedIn,,Complete,Oregon State University,"Radiation Health Physics,B.S",,,,9.0,True,F-18 Weapons Systems Officer,Winged as a fighter pilot (Flight Officer),2/28/12 0:00,VFA-122 as a Student WSO,Navy,Pilot,"Lemoore/Fresno,CA / Salt Lake City,UT / Portland,OR",Locations outside of a reasonable distance from the above preferences,,Entrepreneurship;Engineering;Defense Contracting,,,,Location,,Veteran,2018-10-23,31.0,5.0,"Lemoore, California","Lemoore, Kings County, California, United States of America",36.3006495,-119.78271219999999,7.475942005895005,"Lemoore, California: 5"
003f400000dbI4OAAU,8/19/75 0:00,10/23/18 16:48,"Washington,DC",Washington,DC,"Washington, DC",,,Complete,University of Phoenix,Business Management,,,MBA,20.0,True,Special Forces Officer,Q Course (SF),8/12/08 0:00,"10th Special Forces Group,Fort Carson",Army,Green Beret,"Washington DC area,Colorado,Utah,Texas,and most European countries.","Louisiana,Mississippi,Arkansas,California",,,,,,,,Veteran,2018-10-23,42.0,29.0,"Washington, DC","Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,19.61941368597148,"Washington, DC: 29"
003f400000dbI4PAAU,3/30/88 0:00,10/23/18 16:48,"San Diego,CA",San Diego,CA,"San Diego, California",,,,Excelsior,Military Leadership,,,Masters - Government,11.0,False,Sniper and Freefall Jumpmaster,BUD/S (SEAL),10/24/08 0:00,Seal Team Five,Navy,SEAL,"Sacramento,Ca or Germany",Preferably not anywhere beside the previous questions answers,,,,,,,,Veteran,2018-10-23,30.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbI4RAAU,6/22/84 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",Friend,,Complete,University of Colorado Boulder,Mechanical Engineering,Complete,,Masters - Aeronautics & Astronautics,12.0,True,F/A-18 pilot,Winged as a fighter pilot (Flight Officer),11/19/10 0:00,VFA-106,Navy,Pilot,"Denver,San Francisco,San Diego,Washington DC,Boston,Austin","fly-over states,far from the mountains",,Entrepreneurship;Consulting;Tech,,,,Job,,Veteran,2018-10-23,34.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4SAAU,9/12/77 0:00,10/23/18 16:48,"Houston,TX",Houston,TX,"Houston, TX",The Tuttle,,Complete,Texas Tech University,International Business,,,,12.0,True,Real Fighter Pilot,Winged as a fighter pilot (Flight Officer),11/1/08 0:00,VFA-151,Navy,Pilot,"Austin,San Antonio,Mexico,Latin America preference",Anywhere east of Texas in the US,,Entrepreneurship;Defense Contracting;Aerospace and Defense,,,,Job,,Veteran,2018-10-23,34.0,15.0,"Houston, TX","Houston, Harris County, Texas, United States of America",29.7589382,-95.36769740000001,12.910459651079426,"Houston, TX: 15"
003f400000dbI4TAAU,7/15/84 0:00,10/23/18 16:48,"San Francisco,CA",San Francisco,CA,"San Francisco, California",Word of mouth,12/3/18 0:00,Complete,University of North Texas,Economics,,,,7.0,False,Special Forces Engineering Sergeant,Q Course (SF),12/13/13 0:00,5th Special Forces Group,Army,Green Beret,No Preference,,,Finance;Tech;Energy,,2,,Job,,Veteran,2018-10-23,26.0,9.0,"San Francisco, California","San Francisco, San Francisco City and County, California, United States of America",37.779026200000004,-122.4199061,9.80231817095515,"San Francisco, California: 9"
003f400000dbI4UAAU,9/25/85 0:00,10/23/18 16:48,"Chicago,IL",Chicago,IL,"Chicago, IL",LinkedIn,,In Progress,Arizona State University,Business Administration,,,,10.0,False,Marine Raider,Individual Training Course (Raider),11/19/13 0:00,3rd MSOB,Marine Corps,Raider,"Houston,TX","Los Angeles,CA",,Finance;Consulting;Energy,,,,Job,,Veteran,2018-10-23,29.0,7.0,"Chicago, IL","Chicago, Cook County, Illinois, United States of America",41.87556160000001,-87.6244212,9.264239623994264,"Chicago, IL: 7"
003f400000dbI4VAAU,3/20/63 0:00,10/23/18 16:48,"Fort Bragg,NC",Fayetteville,NC,"Fayetteville, NC",Elite Meet member,,Complete,East Carolina University,Industrial Technology,Complete,,Masters - International Relations,37.0,False,"Army Aviator,Army Special Forces,Infantry,Psychological Operations",Q Course (SF),11/21/86 0:00,"A Company,2d Battalion,11th Special Forces Group (Abn)",Army,Green Beret,East Coast but am open to most anywhere.,Louisiana,,Aerospace and Defense,,,,Job,,Veteran,2018-10-23,56.0,24.0,"Fayetteville, NC","Fayetteville, Cumberland County, North Carolina, United States of America",35.052575899999994,-78.878292,14.411933402373936,"Fayetteville, NC: 24"
003f400000dbI4WAAU,7/20/63 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",Ed Hine,,Complete,Kansas State University,Social Science,Complete,,Masters - Management,30.0,False,SEAL,BUD/S (SEAL),10/18/89 0:00,SEAL Team FOUR,Navy,SEAL,"Virginia Beach,Texas,Pacific Northwest",New York City,,Entrepreneurship;Real Estate;Energy,,,,Location,,Veteran,2018-10-23,49.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4XAAU,7/23/84 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,,Kent State University,Business Administration,,,,10.0,False,Navy SEAL,BUD/S (SEAL),7/8/09 0:00,SQT then SEAL Team Four,Navy,SEAL,"Nashville,Cleveland,Pittsburgh,D.C.,East Coast",West Coast,,Entrepreneurship;Finance;Real Estate,,,,Job,,Veteran,2018-10-23,29.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4YAAU,11/11/79 0:00,10/23/18 16:48,"New York,NY",New York,NY,"New York, NY",,,In Progress,US Military Academy,English,,,Masters Public Administration,21.0,True,Special Forces Team Leader,Q Course (SF),2/24/11 0:00,1st SFG(A),Army,Green Beret,New York City,,,Entrepreneurship;Finance;Non-Profit,,,,Job,,Veteran,2018-10-23,43.0,26.0,"New York, NY","New York, United States of America",40.7127281,-74.0060152,17.067513741735045,"New York, NY: 26"
003f400000dbI4ZAAU,5/23/75 0:00,10/23/18 16:48,"Tucson,AZ",Tucson,AZ,"Tucson, AZ",,,Complete,Trident University,Health Sciences,,,Masters - Homeland Security,25.0,False,Pararescue (PJ),Pararescue Recovery Specialist Course (PJ),12/20/95 0:00,"41st RQS,Patrick AFB,FL",Air Force,PJ,"Tucson,AZ","Bagram,AFG",,Government;HR;Security,,,,Location,,Veteran,2018-10-23,44.0,2.0,"Tucson, AZ","Tucson, Pima County, Arizona, United States of America",32.2228765,-110.9748477,4.861985182824824,"Tucson, AZ: 2"
003f400000dbI4aAAE,10/23/72 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,In Progress,University of Maryland,Humanities,,,MBA - Executive,22.0,False,SEAL,BUD/S (SEAL),6/1/97 0:00,SEAL Team Eight,Navy,SEAL,"Virginia Beach,VA; Florida; Texas",CONUS areas outside of what is listed above,,Consulting;Healthcare;Defense Contracting,,,,Location,,Veteran,2018-10-23,41.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4bAAE,4/10/18 0:00,10/23/18 16:48,"Philadelphia,PA",Philadelphia,PA,"Philadelphia, PA",,,Complete,University of Arizona,Political Science,,,MBA,9.0,False,SEAL,BUD/S (SEAL),10/1/07 0:00,SEAL Team 4,Navy,SEAL,major cities on coast,,,Entrepreneurship;Consulting;Tech,,,,Job,,Veteran,2018-10-23,28.0,3.0,"Philadelphia, PA","Philadelphia, Philadelphia County, Pennsylvania, United States of America",39.9527237,-75.16352619999998,6.389189835099177,"Philadelphia, PA: 3"
003f400000dbI4cAAE,9/24/88 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,,Ohio State University,Physics,,,,7.0,False,Navy SEAL,BUD/S (SEAL),8/27/12 0:00,SEAL Team Ten,Navy,SEAL,"West (CA,CO,UT) but will go anywhere",,,Entrepreneurship;Consulting;Real Estate,,,,Job,,Veteran,2018-10-23,26.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4dAAE,3/9/85 0:00,10/23/18 16:48,"Honolulu,HI",Honolulu,HI,"Honolulu, HI",Friend,5/12/20 0:00,Complete,University of Massachusetts Amherst,Political Science,,,,8.0,False,SEAL,BUD/S (SEAL),12/15/10 0:00,SEAL Team Seven,Navy,SEAL,"Boston,NYC are my top choices",?,Contractor,Finance;Real Estate,,,5,Job,I can move tomorrow,Veteran,2018-10-23,27.0,16.0,"Honolulu, HI","Honolulu, Honolulu County, Hawaii, United States of America",21.304547,-157.8556764,13.07619692503784,"Honolulu, HI: 16"
003f400000dbI4eAAE,9/4/80 0:00,10/23/18 16:48,"Dallas,TX",Dallas,TX,"Dallas, TX",,,Complete,Auburn University,Political Science,,,MBA,10.0,True,F-18 Weapon Systems Officer,Winged as a fighter pilot (Flight Officer),12/15/05 0:00,Strike Fighter Squadron 102,Navy,Pilot,Dallas,NYC,,Entrepreneurship,,,,Job,,Veteran,2018-10-23,32.0,12.0,"Dallas, TX","Dallas, Dallas County, Texas, United States of America",32.7762719,-96.7968559,10.550027881781247,"Dallas, TX: 12"
003f400000dbI4fAAE,5/26/92 0:00,10/23/18 16:48,"Savannah,GA",Savannah,GA,"Savannah, GA",,,,Massachusetts Institute of Technology,Operations Research,,,,4.0,False,Logistics,RASP (RR),7/26/17 0:00,1st Ranger Battalion,Army,Ranger,"Bay Area,CA; Washington,D.C; Boston,MA; Austin,TX","I'm open to anywhere there are opportunities,and wouldn't rule out any job based purely off of loca",,Entrepreneurship;Consulting;Tech,,,,Job,,Veteran,2018-10-23,23.0,6.0,"Savannah, GA","Savannah, Chatham County, Georgia, United States of America",32.0809263,-81.09117679999999,8.481717517724846,"Savannah, GA: 6"
003f400000dbI4gAAE,3/16/89 0:00,10/23/18 16:48,"San Francisco,CA",San Francisco,CA,"San Francisco, California",,,,Norwich University,Management,,,,9.0,False,"NSW Sniper,Military Freefall Jumpmaster,Master Training Specialist,Division LPO",BUD/S (SEAL),6/10/11 0:00,SEAL Team Four,Navy,SEAL,North East,Deep South,,Entrepreneurship;Consulting;Real Estate,,,,Job,,Veteran,2018-10-23,28.0,9.0,"San Francisco, California","San Francisco, San Francisco City and County, California, United States of America",37.779026200000004,-122.4199061,9.80231817095515,"San Francisco, California: 9"
003f400000dbI4hAAE,6/20/76 0:00,10/23/18 16:48,"Washington,DC",Washington,DC,"Washington, DC",,,Complete,US Naval Academy,Computer Science,,,Masters - Computer Science,20.0,True,"Leadership,innovation,and entrepreneurship",Winged as a fighter pilot (Flight Officer),8/1/03 0:00,"VFA-131 ""Wildcats"" in Virginia Beach,VA",Navy,Pilot,TBD - Can be flexible depending on opportunity,"Mid-west,though Texas is hometown & okay",,Entrepreneurship;Finance;Tech,,,,Job,,Veteran,2018-10-23,42.0,29.0,"Washington, DC","Washington, District of Columbia, 20230, United States of America",38.8949924,-77.0365581,19.61941368597148,"Washington, DC: 29"
003f400000dbI4iAAE,9/21/89 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,,University of Charleston,Organizational Leadership,,,,8.0,False,"Sniper,Joint Terminal Attack Controller,Instructor",BUD/S (SEAL),10/12/10 0:00,SEAL Team 8,Navy,SEAL,Columbus Ohio,,,Entrepreneurship;Consulting;Defense Contracting,,,,Location,,Veteran,2018-10-23,27.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4jAAE,10/13/73 0:00,10/23/18 16:48,"Honolulu,HI",Honolulu,HI,"Honolulu, HI",,,In Progress,University of Charleston,Organizational Leadership,,,Masters - Strategic Leadership,26.0,False,SEAL,BUD/S (SEAL),12/19/96 0:00,SEAL Delivery Vehicle Team TWO,Navy,SEAL,"Hawaii,West Coast,Costa Rica",,,Entrepreneurship;Consulting;Aerospace and Defense,,,,Job,,Veteran,2018-10-23,45.0,16.0,"Honolulu, HI","Honolulu, Honolulu County, Hawaii, United States of America",21.304547,-157.8556764,13.07619692503784,"Honolulu, HI: 16"
003f400000dbI4kAAE,2/24/84 0:00,10/23/18 16:48,"Abu Dhabi,UAE",Abu Dhabi,UAE,"Abu Dhabi, UAE",,,Complete,Princeton University,History,,,MBA,7.0,False,Army SF Communications Sergeant,Q Course (SF),11/19/10 0:00,5th Special Forces Group (A),Army,Green Beret,"US West Coast,Intermountain West,Alaska","US Gulf Coast,Midwest,Texas,NYC",,Government;Aerospace and Defense;Tech,,,,Location,,Veteran,2018-10-23,26.0,1.0,"Abu Dhabi, UAE","ÃÂÃÂ£ÃÂÃÂ¨ÃÂÃÂÃÂÃÂ¸ÃÂÃÂ¨ÃÂÃÂ, ÃÂÃÂ£ÃÂÃÂ¨ÃÂÃÂ ÃÂÃÂ¸ÃÂÃÂ¨ÃÂÃÂ, United Arab Emirates",24.474796100000002,54.3705762,4.444993228710269,"Abu Dhabi, UAE: 1"
003f400000dbI4lAAE,6/2/78 0:00,10/23/18 16:48,"Sacramento,CA",Sacramento,CA,"Sacramento, California",,,,Cal Poly SLO,Industrial Technology,,,,9.0,False,SEAL,BUD/S (SEAL),2/1/05 0:00,SEAL Team 7,Navy,SEAL,"Bend,Oregon",,,Industrial;Defense Contracting;Security,,,,Location,,Veteran,2018-10-23,28.0,1.0,"Sacramento, California","Sacramento, Sacramento County, California, United States of America",38.5815719,-121.49439960000001,4.501752569106986,"Sacramento, California: 1"
003f400000dbI4mAAE,12/9/84 0:00,10/23/18 16:48,"San Diego,CA",San Diego,CA,"San Diego, California",,,Complete,US Naval Academy,Aerospace Engineering,,,Masters - Aerospace Engineering,12.0,True,Fighter Pilot,Winged as a fighter pilot (Flight Officer),6/27/11 0:00,VFA-25,Navy,Pilot,"West Coast USA,International,Atlanta",Mid-West,,Entrepreneurship;Aerospace and Defense;Tech,,,,Job,,Veteran,2018-10-23,34.0,92.0,"San Diego, California","San Diego, San Diego County, California, United States of America",32.7174209,-117.16277140000001,23.0,"San Diego, California: 92"
003f400000dbI4oAAE,1/25/87 0:00,10/23/18 16:48,"Fort Bragg,NC",Fayetteville,NC,"Fayetteville, NC",,,,University of Notre Dame,History,,,,9.5,True,Army Special Forces Officer,Q Course (SF),3/19/15 0:00,3rd Special Forces Group (Airborne),Army,Green Beret,"Phoenix,AZ or Los Angeles,CA",East coast,,Healthcare;Tech,,,,Location,,Veteran,2018-10-23,31.5,24.0,"Fayetteville, NC","Fayetteville, Cumberland County, North Carolina, United States of America",35.052575899999994,-78.878292,14.411933402373936,"Fayetteville, NC: 24"
003f400000dbI4pAAE,12/9/86 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,,University of Charleston,Organizational Leadership,,,,,False,SWCC,Crewman Qualification Training (SWCC),4/30/08 0:00,Special Boat Team 22,Navy,SWCC,"Greenville,SC",West Coast,,Real Estate;Engineering;Industrial,,,,Job,,Veteran,2018-10-23,,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4qAAE,7/17/74 0:00,10/23/18 16:48,"Puyallup,WA",Puyallup,WA,"Puyallup, WA",,,Complete,University of Central Florida,Advertising and Public Relations,,,Masters - Global and International Studies,24.0,True,US Army Special Forces Officer,Q Course (SF),7/1/06 0:00,1st Special Forces Group (A),Army,Green Beret,Southern California- LA to San Diego,,,Defense Contracting;Security;Aerospace and Defense,,,,Location,,Veteran,2018-10-23,46.0,2.0,"Puyallup, WA","Puyallup, Pierce County, Washington, United States of America",47.184900899999995,-122.29213999999999,6.256751374173504,"Puyallup, WA: 2"
003f400000dbI4rAAE,9/18/84 0:00,10/23/18 16:48,"Berkeley,CA",Berkeley,CA,"Berkeley, California",,,In Progress,University of California Santa Barbera,Chinese,,,MBA,10.0,True,Special Forces Officer aka Green Beret,Q Course (SF),12/5/13 0:00,"ODA 1126,1st Battalion,1st Special Forces Group (Airborne)",Army,Green Beret,"West Coast primarily,but willing to relocate for the right job opportunity. I would also be willing",Very few places I would not live for the right job opportunity,,Entrepreneurship;Non-Profit;Tech,,,,Job,,Veteran,2018-10-23,32.0,1.0,"Berkeley, California","Berkeley, Alameda County, California, United States of America",37.8708393,-122.27286389999999,4.2800127459571415,"Berkeley, California: 1"
003f400000dbI4sAAE,4/22/18 0:00,10/23/18 16:48,"Virginia Beach,VA",Virginia Beach,VA,"Virginia Beach, VA",,,,,,,,,15.0,False,Navigation/ maritime expert,Crewman Qualification Training (SWCC),8/10/07 0:00,Special boat team 12,Navy,SWCC,San diego,Central USA not near the ocean,,Non-Profit;Government;HR,,,,Location,,Veteran,2018-10-23,34.0,79.0,"Virginia Beach, VA","Virginia Beach, Virginia Beach (city), Virginia, United States of America",36.8529841,-75.9774183,20.57524097825221,"Virginia Beach, VA: 79"
003f400000dbI4tAAE,6/25/81 0:00,10/23/18 16:48,"Southern Pines,NC",Southern Pines,NC,"Southern Pines, NC",,,Complete,Troy University,Criminal Justice,,,Masters - Strategic Security Studies,19.0,False,Special Forces Operations Sergeant,Q Course (SF),3/10/05 0:00,5th Special Forces Group,Army,Green Beret,North east/Pennsylvania,In the South or California,,Government;Industrial;Aerospace and Defense,,,,Location,,Veteran,2018-10-23,38.0,5.0,"Southern Pines, NC","Southern Pines, Moore County, North Carolina, 28387, United States of America",35.1740471,-79.39225390000001,8.241057914442763,"Southern Pines, NC: 5"
